skill_id,skill_name,skill_sha256,path
01,国民经济行业类别审核,9a966788b34fc76e5be2b7fdb80a728ddc10715b116d8e2d0d5a6b1cfb51a88c,09_环评审核技能库/01_国民经济行业类别审核/SKILL.md
02,环评投资核算审核,4e6dd690641cf4ddf45dfbbde01367769516d8a9cf50e141dc6af052213cac1f,09_环评审核技能库/02_环评投资核算审核/SKILL.md
03,三线一单符合性审核,0bbfff772171dc8cef036c3f6db3e6a99658022fb168750607a3d725a122762c,09_环评审核技能库/03_三线一单符合性审核/SKILL.md
04,建设内容完整性审核,1ecd808bdda8e998efd5e839fcff851e166c0831ead7aeb92e06c229d501aff2,09_环评审核技能库/04_建设内容完整性审核/SKILL.md
05,环境质量现状数据审核,879907819badf4e04483d62fae34339745176727a25b54031ea09eed21472613,09_环评审核技能库/05_环境质量现状数据审核/SKILL.md
06,环境质量执行标准审核,704bd31bdf92624f5941cbdc925c89f3ab60ee868f855a785b7388cefbca7d0d,09_环评审核技能库/06_环境质量执行标准审核/SKILL.md
07,污染物排放标准审核,7a55fa1b736b849625c5b491e2f2f4fe3bea5cdb1a9438771cc07bea7407ffca,09_环评审核技能库/07_污染物排放标准审核/SKILL.md
08,产污系数适用性审核,e4f0e2989dab3fc4042330cf1fca4383339628a1b67883a8a84fc981de173a9a,09_环评审核技能库/08_产污系数适用性审核/SKILL.md
09,源强定量核算审核,3a493d6495ba012a5eb7a623b81863526ad99ab180cc9a91100c5e59618fd1ca,09_环评审核技能库/09_源强定量核算审核/SKILL.md
10,废气收集形式审核,04f985003ab2479d340a769e4f100c892ea1c0fc896ebaffb97e7ca1ccd62bc8,09_环评审核技能库/10_废气收集形式审核/SKILL.md
11,废气设计风量审核,ef3d96a66f2b73c9956753b6f8ae6c0957b3fb89e6de388fe13addfba2b13910,09_环评审核技能库/11_废气设计风量审核/SKILL.md
12,废气收集效率审核,9537752142ee50448babde587d3c94779b904f32a292419a075ed0f7c311f6a6,09_环评审核技能库/12_废气收集效率审核/SKILL.md
13,活性炭参数审核,4dde9cf9f978f556f6c0c510881489f186b9fd2b3293ab104c34f64f6f965070,09_环评审核技能库/13_活性炭参数审核/SKILL.md
14,危险废物识别审核,298d8043c7f2cf62e9e5061c3b82c4008807bc09c31b16038929cadf351ba986,09_环评审核技能库/14_危险废物识别审核/SKILL.md
15,VOCs总量控制审核,92aab0f29d40a2c76e28d5c248552051b4867a59af49bdc6662a11e51d527fc6,09_环评审核技能库/15_VOCs总量控制审核/SKILL.md
99,总审核汇总,fb07d0006da1ba9f39ea35288c662383fdd85fab5acc88454e0468a45212e371,09_环评审核技能库/99_总审核汇总/SKILL.md
