question_id,report_context_sha256
PL001_Emission_固体,e533e4d327ea5c83af61e03077fb6962239b1f41e430d246cf05cb9b0310bc13
PL001_EnvQuality_Q01,4b2e26ac32271d5b0a14c3930df7d3db95df9683a80b89e361860f84784fe664
PL001_V01_Q01,ba50ef652f7b490444708912ec6fcd298e3cdf7952482605affb5887ced46259
PL002_Emission_大气,4fdb71864a737b14526f337dc4b4847f68903c5a050d3b6f812e03d13bf98b92
PL002_Emission_固体,d18db5fbd7b91f2d2391c7a5ede0a1d2591444d600fb37a3d64482d655c0d0d5
PL002_Emission_噪声,bacf5089b66f51e744f314c17bbe8db7c7e1542c78ade6207855a8f94f8fb33b
PL002_EnvQuality_Q01,b11e849c423fb5190b3591674867b0b9f5ebd499624d692810e2f2cb685a4a85
PL002_V01_Q01,740751cf228b25772899002cc7bb8e28b1600546d5de9c9ae93540a03f8db828
PL003_Emission_固体,0d606c086a14583780836016fc5cd45d89342f6063d9c9fa55e978d603776efd
PL003_Emission_水污,11a255ef928b370acd1221e1cd371227ee13e4695baae3c5ca7e3a2a29f27a6c
PL003_Emission_噪声,53df4581ed4c6c7488b9ef4e8ddd01ccc9ce27204a6042ad901836d8a752dd70
PL003_V01_Q01,71f20c2c05d21474fc72bb3336dbeca02eb8185c1fcb348ff0bf8e03a7c0e7e6
PL003_V01_Q03,f13ca32f04b1ce769c6699f9cb3602af63731252f09e82df0953b07b7416b6d6
PL004_Emission_固体,dd4c672967297a4dfb7fd7c74db4fe4ac5c445595361b1b61b7687efd73aba2b
PL004_Emission_水污,2a4e86cb58b8f3d32f7c03f3134d75d69f048d3cd5d502f9fd34a77dda80e08d
PL004_Emission_噪声,835d15a1af01806ae97bcf949dfd7d46a7882ab98bba6a9da6664afdd2d51032
PL004_V01_Q01,f4bd8f569e572ebd2e6bb9065de520af51a88198e110e73c571b0632173e3874
PL005_Emission_固体,6653f5a0076ebaa923f3930c0345d9e1e8aafb2d70dd789e814544f138a955c2
PL005_Emission_水污,26dc63fe6a0da069120bf8cd526e7492d32c0622c1587f2d6b92065e6295fd31
PL005_Emission_噪声,a40b4a44c105dcb7a8dffc3116d0125bc877c7e05e2bc0e83108551e083e0f4b
PL006_EnvQuality_Q01,59d59dc23946a81432e6fa98ce69fa4d2843829d9354d0d29e072323f77581ff
