question_id,prompt_sha256
PL001_Emission_固体,917a0830417559c23c456b7696864c71b44057e9d46a8588a93dd2bd5174e985
PL001_EnvQuality_Q01,8363b2cfa3e1ba00cbfae45cb00ef7a73fa679d0772292425e9394476789d56e
PL001_V01_Q01,5d59fb9c3906e4d274b8da2a1dd9ae89317b6d38fc75769427f3c4d6b44b5cc5
PL002_Emission_噪声,389befd2b768ad920b8cca91bc3b0696ad9a5b4655331793b0cca54cf73ac555
PL002_Emission_固体,00ea515c208ef09565bc7694e985d7d9a68c9ee13254f75b95075ea732b1cced
PL002_Emission_大气,2c2f4014b6c138706ee2ae00a4666db75739f9333471d747238e219e8075c5e8
PL002_EnvQuality_Q01,9e46ab48f81e0bdfcb3673bfb5ed0a9a7c1b617937db2bb3a07c3fdd7643cac7
PL002_V01_Q01,bb239c5dfc7fbccb5f71d919c5016e564cc71a0d8519463881f9ed3a28c7ced3
PL003_Emission_噪声,21f1165b6a4bcbe090222942439478f3a02497ff079e462e11c4896a450df109
PL003_Emission_固体,22de5e62d72a48a616bb098a2dc4022830ce8f3d3784d5a3d5d99a051f078112
PL003_Emission_水污,a3c10d0105fb2a4e9b491ba0014f15a4596d53d4817064305686ec70796f17ec
PL003_V01_Q01,e94e1b2ee4bf9134fd140518274c718fd7c332ae2eb3ffaa59f45d7d4f286947
PL003_V01_Q03,311407c3b195de70e0927e358af93fa47baab1dd7c6ef20b631a9b72d25a9fea
PL004_Emission_噪声,07adda4710dcc4f0641908432b592ad823f3ac2d745aeccacd1a128b72f42877
PL004_Emission_固体,f5efc9101a6a700865102e58e6939ae5a2d9812d019a41eb6efbe2b7d3ec4677
PL004_Emission_水污,2e1f907f4ccb4ac95c31c05a71f28f15205b618ce93475f8741d5f4373e777ea
PL004_V01_Q01,5e7a3284384414bf061f22bfdd4e48d3a207dfd6e76bcdf541c58f89a161ca1a
PL005_Emission_噪声,9392b5d71d7657af79ccff53e478fbf139a923872c531e39e22c12e4c36c957a
PL005_Emission_固体,952bf67c7817d4018c6582683a5ab695995c330461c8d45ddd3f19b789ffb76b
PL005_Emission_水污,93747ac4d8cc1f3bbfb0bc2e06ef39b702b9cc0732fdca4f33252f3d74ebebba
PL006_EnvQuality_Q01,265cc382c4284d6ec6acb41a3ad8c9d9075e9567662be59cd417c65192bdbd20
