question_id,response_sha256
PL001_Emission_固体,4c3be0cf6ade1c37cc0748b5d3b4af55e046b335039cd44a227a7e02c9e626a1
PL001_V01_Q01,1455d924d61f842f76390f374b2b1da11bfb29b7588c6141344e35db27152fc3
PL002_Emission_噪声,e07e797557ecd6ffef3878eda769984c2a2c01313cd9b59125e5b34365fc02c2
PL001_EnvQuality_Q01,8be1be2b9306a09196cd422b15b759e016432c2b01d2e46f7843d88d7450d6c0
PL002_Emission_固体,d0ad54e070b2ba00176f9d4202ee7f4d51ef03eb2f6fe17a99dd8eddd531bc49
PL002_EnvQuality_Q01,2d4dc752d7a80e0b75961472048fde034965b395746fa65fb83ca8aa9aa8a21b
PL003_Emission_固体,f069c0876e5c7d27fb5f105418f9d84e852385136fc1c8383cec44ca3fcca870
PL003_Emission_噪声,6598fbf1b2b7bda38beb5fcd70afeba6d74f7e096246512808ca26d8e7f59b34
PL003_V01_Q03,e131744392742f79c40f9948414090c142e152e75754f7f03f93b6bb9677f11c
PL003_Emission_水污,51a388b607b1c9917258b971b495eda30042ea11948bd6ce6c18af866c4cf19f
PL003_V01_Q01,384223a5cfbfbec48a2e11edb75f6324aa9411dac0b1a63f6b16e2e176ee71b1
PL004_Emission_噪声,5ee3c979262951b5dd35ac941c508b4a7e623c8ac72c83ecd244789f6fa3414f
PL004_Emission_固体,165c3e044be42972d135c612d0a49842f0ff291012d0dac543c6ac73cc2e076f
PL004_Emission_水污,5a1d32240dc64cc753533ee1a4334876577ee9c3c552025db2eb705d371b6ca0
PL005_Emission_噪声,0bebea83d228bb66b8e6398e75e41b5e8731da99dc09270a48975b26b214b858
PL005_Emission_水污,fa5dac39281944af94d8073430ebcaf4261a3c17708b6f788c44b3b5be5305a4
PL004_V01_Q01,7869f4c915e8197c68c4de2cffd4ea030d583fe02c005fc8e743ac32cb1f3376
PL006_EnvQuality_Q01,e9f4133c0243eb9742ee719ca68e027e5b49c0723ae0a1d83a0a1d6ac7c09c6b
PL002_Emission_大气,2cb73926a17a44188d190d3fbbf4ae9443d0def2e59240699c376012899ece71
PL002_V01_Q01,47128995a772dc3bbb0565be4264a522891efab74cb7c93d1c6e599d7096c89f
