project_id,file_name,page,table_local_index,row_index,row_status,cell_hit_ratio,row_preview,missed_cells,md_file,file_id
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,1,3,完整,1.0,建设单位联系人 | 郭** | 联系方式 | 181**,,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,1,5,完整,1.0,地理坐标 | （ 113度9分31.564秒， 22度54分28.567秒）,,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,1,6,完整,1.0,"国民经济
行业类别 | C2929塑料零件及其他塑料
制品制造；C3831电线、电
缆制造 | 建设项目
行业类别 | 二十六、橡胶和塑料制品业53塑料制
品业，其他（年用非溶剂型低 VOCs
含量涂料10吨以下的除外）；
三十五、电气机械和器材制造业77电
线、电缆、光缆及电工器材制造，其
他（仅分割、焊接、组装的除外；年
用非溶剂型低VOCs含量涂料10",,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,1,9,完整,1.0,总投资（万元） | 1000 | 环保投资（万元） | 30,,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,1,10,完整,1.0,环保投资占比（%） | 3 | 施工工期 | 2个月,,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,1,11,完整,1.0,"是否开工建设 | 否
是： | 用地（用海）
面积（m2） | 5162.06",,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,2,3,完整,1.0,建设单位联系人 | 郭** | 联系方式 | 181**,,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,2,5,完整,1.0,地理坐标 | （ 113度9 | 分31.564秒， 22 | 度54分28.567秒）,,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,2,9,完整,1.0,塑料零件及其他塑料 | 10,,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,2,10,部分,0.75,国民经济 | C2929 | 建设项目 | 三十五、电气机械和器材制造业 电,三十五、电气机械和器材制造业 电,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
