source_id,relative_path,sha256,allowed_scope
K001,03_指南解析_明文标准库/CARD_SCHEMA.json,2f69a117d1ce49fa37869b128ba0b36742a76175f4a6442ae8434acead6f8b21,国家/广东/佛山/顺德环评知识候选，需人工核验
K002,03_指南解析_明文标准库/cards_by_domain/三线一单.json,274076efe28ca09675bba1c615c07b6ede7fc9715a0942ee37ba3b730acd8eca,国家/广东/佛山/顺德环评知识候选，需人工核验
K003,03_指南解析_明文标准库/cards_by_domain/产污系数.json,91373fb8f2d5dd5e806bae3c02b628c94ba00df7fd12b852b611f5b3e8404a32,国家/广东/佛山/顺德环评知识候选，需人工核验
K004,03_指南解析_明文标准库/cards_by_domain/固体废物.json,39eaf0d806d85aeb539d2100c0c59723bdfac025fcea510bf6c11a133a679be7,国家/广东/佛山/顺德环评知识候选，需人工核验
K005,03_指南解析_明文标准库/cards_by_domain/废气收集.json,497b7ee7e83fdde4d94072b18ab6b9474b5b457f8f681903e8b542ef4c8304f2,国家/广东/佛山/顺德环评知识候选，需人工核验
K006,03_指南解析_明文标准库/cards_by_domain/废气治理.json,af2c7c8259368277f3aa5c5ac7428286b7f0956cfe237a8fb7e1f4187ff77815,国家/广东/佛山/顺德环评知识候选，需人工核验
K007,03_指南解析_明文标准库/cards_by_domain/建设内容.json,19f999cf3b1798e60cfb20f1010d1b4dc4a2b02766f19f6390b28ee45e6c295d,国家/广东/佛山/顺德环评知识候选，需人工核验
K008,03_指南解析_明文标准库/cards_by_domain/总量控制.json,1e1db519005fefb726affd65f10a0a2bec120a86f47ac34a9f51d8143a1eeebe,国家/广东/佛山/顺德环评知识候选，需人工核验
K009,03_指南解析_明文标准库/cards_by_domain/排放标准.json,b091bab5fe2c7256edf6b48b6e032656efc4bd348eb73784f6587dcc78572715,国家/广东/佛山/顺德环评知识候选，需人工核验
K010,03_指南解析_明文标准库/cards_by_domain/标准全文引用.json,4a270b086fdd496f3056f6c7f38cc9c3c5bd0723ef54c76fff525d2d3b0f3963,国家/广东/佛山/顺德环评知识候选，需人工核验
K011,03_指南解析_明文标准库/cards_by_domain/环境质量标准.json,83374928df48c393d87ebee885291c2eda7bb07ed4a2de996ffc29cf296d567d,国家/广东/佛山/顺德环评知识候选，需人工核验
K012,03_指南解析_明文标准库/cards_by_domain/环境质量现状.json,8a20804fe8591959447987524205ac065af5bf9be9402ec82163a3d01a1396d2,国家/广东/佛山/顺德环评知识候选，需人工核验
K013,03_指南解析_明文标准库/cards_by_domain/行业分类.json,653c927cf0a48aa60e6897048824518873a5b348308b91bd5edd402b0c85b981,国家/广东/佛山/顺德环评知识候选，需人工核验
K014,03_指南解析_明文标准库/cards_by_domain/项目基本情况.json,83414a9ea7b6ad3c035a49367bb733f5415b1b2864cfd08a536b9de405920e54,国家/广东/佛山/顺德环评知识候选，需人工核验
K015,03_指南解析_明文标准库/cards_by_skill/01_国民经济行业类别.json,653c927cf0a48aa60e6897048824518873a5b348308b91bd5edd402b0c85b981,国家/广东/佛山/顺德环评知识候选，需人工核验
K016,03_指南解析_明文标准库/cards_by_skill/01_国民经济行业类别.md,ae5543aa361640e10731d5b2d3d5093cfbdbdc0033a09e6fc338ef7b6e944d9c,国家/广东/佛山/顺德环评知识候选，需人工核验
K017,03_指南解析_明文标准库/cards_by_skill/02_环保投资.json,83414a9ea7b6ad3c035a49367bb733f5415b1b2864cfd08a536b9de405920e54,国家/广东/佛山/顺德环评知识候选，需人工核验
K018,03_指南解析_明文标准库/cards_by_skill/02_环保投资.md,39bd1a47a64feb0e6a01d3ac7608532e5baddb825ae745016aa30b83cb0fcf7f,国家/广东/佛山/顺德环评知识候选，需人工核验
K019,03_指南解析_明文标准库/cards_by_skill/03_三线一单.json,274076efe28ca09675bba1c615c07b6ede7fc9715a0942ee37ba3b730acd8eca,国家/广东/佛山/顺德环评知识候选，需人工核验
K020,03_指南解析_明文标准库/cards_by_skill/03_三线一单.md,6181ee427a6702111c92ca8e7a11859e82c64ca14e258a28deb9b28dc30833a2,国家/广东/佛山/顺德环评知识候选，需人工核验
K021,03_指南解析_明文标准库/cards_by_skill/04_建设内容.json,17c6bb9e785ce44a74eb5c386632f01b9390656dcaa4343396672d9734552df2,国家/广东/佛山/顺德环评知识候选，需人工核验
K022,03_指南解析_明文标准库/cards_by_skill/04_建设内容.md,59b74a9c7c882c5d00a1b0b232a6aae4d81472d21c5a7239f25ed3739f3af5a7,国家/广东/佛山/顺德环评知识候选，需人工核验
K023,03_指南解析_明文标准库/cards_by_skill/05_环境质量现状数据.json,8a20804fe8591959447987524205ac065af5bf9be9402ec82163a3d01a1396d2,国家/广东/佛山/顺德环评知识候选，需人工核验
K024,03_指南解析_明文标准库/cards_by_skill/05_环境质量现状数据.md,552f66a19439a8cea00c8204fbf95b80688bf213e723ddc00f38c884f1e198de,国家/广东/佛山/顺德环评知识候选，需人工核验
K025,03_指南解析_明文标准库/cards_by_skill/06_环境质量执行标准.json,83374928df48c393d87ebee885291c2eda7bb07ed4a2de996ffc29cf296d567d,国家/广东/佛山/顺德环评知识候选，需人工核验
K026,03_指南解析_明文标准库/cards_by_skill/06_环境质量执行标准.md,6ffdbda997149f7d5581f8b3ea55fd82eda39bc551e9039571b63396d1d2018e,国家/广东/佛山/顺德环评知识候选，需人工核验
K027,03_指南解析_明文标准库/cards_by_skill/07_污染物排放标准.json,2065b899d258463a93abf6f2b064c037b66d251150b63ca4a23e2adb763143e2,国家/广东/佛山/顺德环评知识候选，需人工核验
K028,03_指南解析_明文标准库/cards_by_skill/07_污染物排放标准.md,651b7bda20438085dac5ab8f3fa57c9abbe91c9fbfd4a8ff296962b8d7fea272,国家/广东/佛山/顺德环评知识候选，需人工核验
K029,03_指南解析_明文标准库/cards_by_skill/08_产污系数合理性.json,5f83a6fbd612d600b0ecfb810d6bbf86bd582f52213ac0a468420e2fef8fac92,国家/广东/佛山/顺德环评知识候选，需人工核验
K030,03_指南解析_明文标准库/cards_by_skill/08_产污系数合理性.md,cb05a8c1dca7c0318045ff99a054b2b70167aabe8c30a2f8319cce0e41a4a18f,国家/广东/佛山/顺德环评知识候选，需人工核验
K031,03_指南解析_明文标准库/cards_by_skill/09_产污系数定量核算.json,cd0bcc1428b10e28a4dd552fd90a9650b49d32711a922111022dea9b0dbded7f,国家/广东/佛山/顺德环评知识候选，需人工核验
K032,03_指南解析_明文标准库/cards_by_skill/09_产污系数定量核算.md,0073119925bccedc57564440a9e84729c38117a045c4c2914c9a84854a75d6e3,国家/广东/佛山/顺德环评知识候选，需人工核验
K033,03_指南解析_明文标准库/cards_by_skill/10_废气收集形式及排气量.json,8c97aa7bf29ef9449e02e21a7fbf86156d756e9f1626db8f96a44da759f9c892,国家/广东/佛山/顺德环评知识候选，需人工核验
K034,03_指南解析_明文标准库/cards_by_skill/10_废气收集形式及排气量.md,10d598620c00b7430bf7e22636b241aa2645606b7be919019c341de6cdd956a8,国家/广东/佛山/顺德环评知识候选，需人工核验
K035,03_指南解析_明文标准库/cards_by_skill/11_废气收集风量与设计风量.json,b3fe1a1c8c81bbd6fbc9dbc18371c489c9132bb3da254eb85a443e942d62e8fd,国家/广东/佛山/顺德环评知识候选，需人工核验
K036,03_指南解析_明文标准库/cards_by_skill/11_废气收集风量与设计风量.md,90c3c2f03ce1ae2a9db6e9cad796a865b266dfd342ba5fe73da58e071b7bfb5b,国家/广东/佛山/顺德环评知识候选，需人工核验
K037,03_指南解析_明文标准库/cards_by_skill/12_废气收集效率.json,f4a69f31be75b57aed03547bc4d47cb42d9864d512da85f3c3700099cb61c1ff,国家/广东/佛山/顺德环评知识候选，需人工核验
K038,03_指南解析_明文标准库/cards_by_skill/12_废气收集效率.md,0454279102e136705c4560acea98f02a449c00da177f73cd9d8318d9c1318d14,国家/广东/佛山/顺德环评知识候选，需人工核验
K039,03_指南解析_明文标准库/cards_by_skill/13_活性炭参数.json,af2c7c8259368277f3aa5c5ac7428286b7f0956cfe237a8fb7e1f4187ff77815,国家/广东/佛山/顺德环评知识候选，需人工核验
K040,03_指南解析_明文标准库/cards_by_skill/13_活性炭参数.md,a5ec5bc298dc475c302171aafdac6a88b60f7b653625e22bcaf25429d7d3e4b6,国家/广东/佛山/顺德环评知识候选，需人工核验
