question_id,response_sha256
PL001_V01_Q01,35282aaa092f34056dfd4137510736bc87cb47db03d0d85ef079febee46a1c9b
PL001_Emission_固体,1ccf8897ea9697a22ff4c8612d12dd1eea1c499403beacc2e32de1a3510c89fc
PL001_EnvQuality_Q01,fecfcdab7defe58c2c06a14440988b241a8f4dd43c942679d018ee174ab03e2a
PL002_Emission_大气,60631e9d083001f55f7277eb23128d0a12d63f6a48219321e47694f6260dd92d
PL002_Emission_噪声,75f4dfa9d3a33677138ec2bdd3edde02ae4c44a3a574d1e554f322af5eed0e7d
PL002_Emission_固体,7d0d5461d059948533e981bf0b29da52091fbaa04bd7f8ecd2eb4f8c15f471dd
PL003_Emission_固体,520dc2732cf95ddd37885409d8d80fc6f5dba03dc46a4ec101668d6e129608bd
PL002_V01_Q01,632c466965b2774d545ce219ba37fec17ab5a92ed809dc6521f058ae207d9381
PL003_Emission_噪声,acc966a138add576e1623b0fe35ef06bd16d390f58c81740c0d14f5bf5dc65c3
PL003_Emission_水污,5a6ad27e151c42ebe7eb85ba2c15f18934f595fa38d827e1f1995bacd5ea736f
PL003_V01_Q01,19e36f6afc29428050148f974db2cc035feb9aa5702d22b2f44f730dfe6f9e1a
PL003_V01_Q03,28f1860d71022b9452d0ed05c42335d3a8474e4500160aff6c0609e88fcc00c0
PL004_Emission_固体,16947fe6d198d2b5f15223209c3b95ee19090f17cd5ce2e4e859e55c24ff2c8d
PL002_EnvQuality_Q01,343b38734430b0a866c6ab7c9e1a8704ecd82cacd33425344966ba17892952aa
PL004_Emission_水污,28e402fd3012ee696d85ff5cc9094de76da950be5f6b0a98dd137253bf1c3ca3
PL004_Emission_噪声,2bacf9391be994414098f119dfdc6489dbc6e0abdd84d4c57d276695e1e7f44c
PL004_V01_Q01,bd9145b9a5f5b286bddf5647bc209cc474d1880916e75d79f5e4c99ca0ebca7f
PL005_Emission_固体,919960e6261eba66a5b027bf6cc36b9e4345363dec1882996f12403add50d70a
PL005_Emission_噪声,e44eb0f644f5dcdc2149db3298a188889c965abb3a1a5daba92a15fdf6645f7d
PL005_Emission_水污,8d2373736fd1394f670ee186300d379924e651d33a283c2d166212dc796c9f3d
PL006_EnvQuality_Q01,5ebe6f39f7bbf7d9e1a2cbc12ce42f3bd573570a448debbf9204ff9242789d9a
