question_id,prompt_sha256
PL001_V01_Q01,ed32ec2d4cf1810cf3a1437da9f0219d905bdaea81dfd439a8af2875ef8db0d6
PL001_Emission_固体,298934cd76442463dee2788b57dcd93a050d65c0676e2a26f96d1c14981886ba
PL001_EnvQuality_Q01,e1f71940721603630a9649af44d174413a1900e2c149b9a1b268b7324957e931
PL002_Emission_大气,45a011ae9f7526b4a0f47ed098a65da229d163ce11a2a507b74f0029b77c6b6e
PL002_Emission_噪声,d6505fa765ff3d21067a2564eb78688e154986ea241f37f877c3fc1b4559dd1b
PL002_Emission_固体,49057aff84c0ecd629533ca97b6cfa3bc2dbad1773c8e77a34901eb8add5ac37
PL003_Emission_固体,27138f25170b656c33cb513323d184fe055b72e0bd144abb46e8c2cca4bba6f7
PL002_V01_Q01,4a312a2870db0262985dd2bc6f0270eab8068ebdb403db6fc529381cefbe4ec6
PL003_Emission_噪声,90b3e9c92577977aab5749383b3050fd5289865ce24f14bbad75a3bdb57f1ad6
PL003_Emission_水污,68b91f53594e96fa924ce09a1114b7be4d43b7cedcbdddb00eaf9d3914047290
PL003_V01_Q01,5b65a6d85cc9457619cf69e6dbc24460a883b84fcab4a9ced709f2d682e51694
PL003_V01_Q03,1887dd61605a96ad2e4e0d85ba5b426f1c6fdfd734ea0ac41a749efee252eec4
PL004_Emission_固体,a338138de0e6ee38bae07bd1bc75613bdda9be6b6f66fe1a7ac48e5125df7782
PL002_EnvQuality_Q01,3c917c96ebe3e149e843d4a0c975793ce1527136e5bb6550346bcb155c88eab7
PL004_Emission_水污,c76eb3e65a16a0c2f76be8c5d01c20ddf11c5442ee0cfa25247e7f44f2ea54ce
PL004_Emission_噪声,ed73cb062519df3e43d0040b2dc901e9859df21c445b36af494fa55128d2c73e
PL004_V01_Q01,b96b7e40230d5a2bb249c466b2ed22dcb3424bf5c92203c3c14d103c77332e04
PL005_Emission_固体,f160315764bad92c338c20a8908bffbd2a111e903819283361054e3807586cf7
PL005_Emission_噪声,e827e4d03422e245fdc807f6586f33b8160ec137b16318f1f13de5447638d645
PL005_Emission_水污,6cc647ac64d74a0ead11e7c387ee481ee1a9ee35df65366453d7e6fe10c5047a
PL006_EnvQuality_Q01,2856bd354cb682f077c887eda9c8bf7de5d7c52f22370c8f5f1967bf730baf82
