kind,canonical_project_id,project_name,version_index,old_name,new_name,excel_first_row,excel_report_name
PL,PL001,佛山市亮正新材料有限公司新建项目,1,001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,PL001_佛山市亮正新材料有限公司新建项目_01_核查材料.docx,2,佛山市亮正新材料有限公司新建项目.docx
PL,PL002,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,1,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,PL002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,12,佛山市顺德区启卓工程塑料实业有限公司搬迁项目.docx
PL,PL003,佛山市顺德区康明新材料厂新建项目,1,003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,PL003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,32,佛山市顺德区康明新材料厂新建项目.docx
PL,PL004,恒励新材料科技(佛山)有限公司新建项目,1,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,PL004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,42,恒励新材料科技（佛山）有限公司新建项目.docx
PL,PL005,佛山市润特龙清洁用品有限公司新建项目,1,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,PL005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,52,佛山市润特龙清洁用品有限公司新建项目.docx
PL,PL018,广东台塑智能科技有限公司新建项目,1,006_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,128,年10月10日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
PL,PL019,佛山市智龙科技有限公司迁扩建项目,1,007_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版.pdf,PL019_佛山市智龙科技有限公司迁扩建项目_01_受理公告或公示版.pdf,134,年10月12日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
PL,PL020,佛山市朗信塑料制品有限公司新建项目,1,008_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版.pdf,PL020_佛山市朗信塑料制品有限公司新建项目_01_受理公告或公示版.pdf,140,年10月16日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
PL,PL021,佛山市顺德区共诺电子元件厂搬迁项目,1,009_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.pdf,PL021_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.pdf,146,年10月16日建设项目环境影响报告受理公告（大良）.pdf
PL,PL022,佛山市锐拓新材料有限公司新建项目,1,010_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版.pdf,PL022_佛山市锐拓新材料有限公司新建项目_01_受理公告或公示版.pdf,152,年10月17日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
